id,year,assets,debt,earnings,cashflow,sales,mv,ad,rd,fv,mkt,sector
296,1997,16.062,6.574,1.084,-2.853,53.076,2.7550254,.704,.57999998,.82903904,16.806999,1
297,1990,196.193,37.513,42.437,16.21,265.542,167.04625,19.236,5.677,.64720583,55.049,1
297,1991,233.061,41.17,41.254,5.522,310.798,191.25975,22.209,6.3909998,.68003547,69.159004,1
297,1992,255.249,43.376,36.636,14.234,333.973,150.40401,22.785999,6.8959999,.44782937,81.230003,1
297,1993,239.121,44.543,32.941,-3.819,280.292,169.76625,14.052,5.1999998,.46078032,70.693001,1
297,1994,219.681,31.19,31.325,7.538,284.343,214.38499,12.078,5.3039999,.65659297,73.033997,1
297,1995,278.353,68.94799999999999,32.058,-6.281,347.19,194.75999,26.150999,6.5310001,.51080102,79.725998,1
297,1996,280.768,61.501,15.853,-6.475,344.373,115.8525,26.657,6.5370002,.2543577,78.737999,1
297,1997,277.019,88.753,24.295,19.991,303.121,129.75999,21.511999,5.4530001,.47604316,69.389999,1
297,1998,296.017,82.066,34.185,20.511,328.525,77.904747,18.475,7.033,.3056235,76.519997,1
297,1999,302.562,73.14100000000001,38.997,27.84,364.277,72.652939,21.906,8.3290005,.29901621,83.826996,1
297,2000,257.971,45.857,39.611,1.675,347.288,56.429626,18.434999,7.8540001,.25001115,78.884003,1
297,2001,244.913,84.55,33.182,15.472,345.637,52.855881,18.282,7.5650001,.21958362,88.402,1
297,2002,271.285,80.19499999999999,30.554,33.804,342.532,87.600853,16.34,6.7290001,.13751534,96.153,1
297,2003,277.657,67.886,27.811,-3.483,315.892,111.54237,14.909,6.6820002,.15814967,92.380997,1
297,2004,293.714,50.797,27.836,22.157,355.274,172.29366,16.612,9.0229998,.35334256,102.53,1
297,2005,283.318,37.8,25.036,26.257,380.69,150.20656,18.476,10.481,.25119323,111.663,1
297,2006,284.226,20.807,31.29,7.53,395.79,156.94133,21.299999,11.536,.23749176,109.903,1
297,2007,319.679,10.006,29.272,1.394,432.06,198.55722,22.834999,12.448,.32115722,119.557,1
297,2008,255.069,60,15.675,4.9,420.789,116.2098,24.355,12.495,.16420968,116.902,1
297,2009,210.282,16.089,16.049,30.615,356.523,83.546997,19.481001,11.1,.08617951,97.285995,1
297,2010,226.756,14.939,24.739,19.751,382.432,122.80278,20.107,13.45,.1968141,104.783,1
297,2011,259.356,11.478,28.499,30.98,407.422,150.46254,22.337999,14.819,.19469586,108.051,1
297,2012,263.632,8.334,32.62,31.764,412.292,211.58987,21.745001,14.732,.36391211,106.755,1
297,2013,288.35,7.794,36.519,30.003,426.461,266.51035,22.902,15.346,.51709497,106.037,1
297,2014,288.626,7.431,35.812,33.218,425.41,258.53381,22.135,16.466999,.44572145,104.942,1
297,2015,299.204,7.062,36.888,18.056,430.489,210.6413,24.459999,16.483,.26031503,105.604,1
297,2016,310.279,7.008,41.677,43.434,433.727,363.3363,23.611,18.43,.76070344,104.577,1
297,2017,353.659,0,58.671,46.35,490.565,732.58014,24.349001,19.166,1.6281451,121.834,1
297,2018,395.936,0,76.126,63.358,544.268,929.80701,26.319,20.441,1.8611518,132.07899,1
297,2019,436.444,0,77.738,45.844,562.419,588.29376,28.396999,21.926001,.8102569,135.659,1
299,1990,3.403,.51,-1.651,-.947,5.12,9.3624964,.38100001,.73799998,3.371289,3.9289999,4
299,1991,5.249,.498,-.161,-.658,7.862,10.657496,.22499999,1.279,2.1267853,4.5970001,4
299,1992,8.962,.439,.744,-.098,11.743,92.449493,.025,2.3770001,9.7328157,5.526,4
299,1993,24.379,.373,.017,.361,14.845,51.059994,.0070000002,1.4450001,1.447475,9.9939995,4
301,1990,8862.936,2238.482,1228.567,238.262,3889.055,8966.6631,447.30399,16.08,1.071023,949.32001,1
301,1991,9968.805,2515.783,1378.107,483.945,4241.93,12301.748,460.845,15.978,1.3383577,1041.2321,1
301,1992,9556.947,2627.573,1127.188,386.402,3917.932,10307.227,498.922,18.452,1.1601833,1033.12,1
301,1993,9050.507,2075.443,1148.857,775.927,4023.029,10048.167,511.59799,46.110001,1.1433574,1029.108,1
303,1990,2.935,.396,-.106,-.39,3.577,1.2410794,.074000001,.141,.50564885,1.41,1
303,1991,2.408,.345,-.102,.095,3.896,.54977977,.057999998,.235,.36784875,1.602,1
303,1992,2.864,.107,.383,.223,4.553,2.2457507,.085000001,.264,.64376771,1.454,1
303,1993,2.66,.081,-.073,-.066,4.66,.94805998,.109,.26199999,.27445865,1.793,1
303,1994,2.677,.484,.226,.15,5.724,1.06725,.154,.29100001,.26307434,1.928,1
303,2005,4.669,0,-.451,-.652,12.647,3.3947201,.046,1.229,.39210108,5.1170001,1
304,1990,8.116,0,2.816,.969,13.251,21.728251,1.1059999,.32600001,1.8773103,3.3770001,1
304,1991,7.974,0,1.14,1.147,13.357,9.0758753,1.04,.30899999,.3886224,5.072,1
304,1992,10.565,0,3.289,2.166,16.524,23.578501,.704,.36399999,1.4999053,3.484,1
304,1993,15.203,0,6.16,2.414,26.125,50.103748,1.184,.43799999,2.5082386,4.2509999,1
304,1994,21.127,0,8.278,4.406,36.395,69.503998,1.527,.68800002,2.5284233,5.658,1
304,1995,36.706,5.03,10.835,2.771,47.384,88.857002,1.136,.93400002,1.9649649,7.8340001,1
304,1996,40.32,4.59,7.706,2.835,46.423,59.292,2.5780001,1.152,.9730407,7.2969999,1
304,1997,41.445,4.13,4.09,4.528,43.305,49.432499,2.7379999,1.29,.6616118,7.98,1
304,1998,221.357,99.79600000000001,6.054,-7.122,112.594,66.334,1.339,2.97,.59359318,24.197001,1
304,1999,226.669,95.118,20.083,16.207,194.369,55.036999,8.6680002,3.444,.5281269,27.834,1
304,2000,208.636,78.654,18.087,4.638,177.293,21.994499,7.3990002,2.5940001,.39383185,23.775999,1
305,1990,1.118,0,.085,.159,2.741,1.1762295,.0049999999,.18700001,1.0073609,.95599997,1
306,2011,19.852,0,.435,.316,10.266,223.332,.075999998,2.9960001,10.376234,5.7659998,1
306,2013,32.853,.055,-6.977,-.615,14.803,156.66277,.124,6.7930002,3.9982274,13.582,1
306,2014,31.103,.026,-4.938,-2.468,19.15,73.555611,.1,6.02,1.6749706,16.291,1
306,2015,38.746,0,3.864,6.105,25.367,101.18999,.20200001,5.5770001,1.9920764,13.858,1
306,2016,48.385,0,4.79,7.854,34.701,271.76279,.2,7.7940001,4.9557257,19.312,1
306,2017,71.71899999999999,0,5.447,10.445,45.39,320.37799,.30000001,10.43,3.8906844,25.493999,1
306,2018,127.15,.505,2.684,5.626,63.559,267.62506,.5,15.673,1.9733311,36.631001,1
306,2019,135.897,.4,8.752000000000001,14.25,84.59,389.54156,.80000001,19.018,2.6185975,45.142002,1
